,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,0,1/10/2016 19:48,1,0,185,1,10,1,1,15.6,13.108098,171.822222,84.026267,36,0,36,1,0,18,25,36,25,1,11.08,10.5,3980,19.949937,1.804517,63.087241,-0.195811,-0.008512,1.642992,26.3,9.369573,87.788889,35.625751,36,13,23,0.469388,13,32,32,36,19,0.422222,7.98,2,7707,27.761484,1.296761,87.789521,0.959543,-0.742468,1.730206,3.283818,1.169885,1.36863,35.625751,4.49496,1.62318,2.87178,0.469388,1.62318,3.99552,3.99552,4.49496,2.37234,0.422222,0.996383,0.24972,120.152281,3.466299,1.296761,10.9614,0.959543,-0.742468,1.730206,85.1,3.28126,10.766667,3.85577,90,80,10,0.058824,83,85,87,90,4,0.023529,2.7,2,72517,85.156914,1.056872,269.289807,1.78961,-0.0732,1.934071,1,6,2,19,26
1,1,1/10/2016 19:58,1,0,185,2,10,1,1,20.7,22.121131,489.344444,106.865368,61,0,61,1,0,13.5,35,61,35,1,18.84,13.5,8689,29.47711,2.069402,93.214806,#NAME?,0.605047,1.982335,33.7,8.705681,75.788889,25.832883,42,13,29,0.527273,33,36,40,42,7,0.09589,5.96,3.5,12039,34.697262,1.21047,109.722377,-0.936237,-1.401785,4.261493,4.207782,1.086991,1.18155,25.832883,5.24412,1.62318,3.62094,0.527273,4.12038,4.49496,4.9944,5.24412,0.87402,0.09589,0.744166,0.43701,187.688246,4.3323,1.21047,13.699936,-0.936237,-1.401785,4.261493,99.4,4.812022,23.155556,4.841068,106,91,15,0.076142,99,99,104,106,5,0.024631,3.36,2.5,99012,99.504774,1.065276,314.661723,#NAME?,-0.309787,2.299126,1,6,2,19,26
2,2,1/10/2016 20:08,1,0,185,3,10,1,2,38.6,11.423173,130.488889,29.593713,62,23,39,0.458824,30,38,46,62,16,0.210526,8.4,8,16074,40.092393,1.546428,126.78328,1.633177,0.671011,2.848201,51.6,7.042727,49.6,13.648695,62,42,20,0.192308,48,50,58,62,10,0.09434,5.6,4,27072,52.03076,1.191603,164.53571,0.050008,0.351486,1.87725,6.442776,0.879355,0.773265,13.648695,7.74132,5.24412,2.4972,0.192308,5.99328,6.243,7.24188,7.74132,1.2486,0.09434,0.699216,0.49944,422.053011,6.496561,1.191603,20.543929,0.050008,0.351486,1.87725,113.3,7.257946,52.677778,6.405954,123,103,20,0.088496,107,114.5,119,123,12,0.053097,6.04,7,128843,113.50903,1.083614,358.947071,#NAME?,-0.008565,1.654506,1,6,2,20,26
3,3,1/10/2016 20:18,1,0,185,4,10,1,1,19.9,21.068407,443.877778,105.871392,52,0,52,1,0,16,37,52,37,1,18.3,16,7955,28.20461,1.84367,89.190807,#NAME?,0.379895,1.578288,43.6,6.915361,47.822222,15.86092,54,35,19,0.213483,35,45,50,54,15,0.176471,5.68,5,19440,44.090815,1.224745,139.4274,2.760448,-0.088142,1.70458,5.443896,0.863452,0.745549,15.86092,6.74244,4.3701,2.37234,0.213483,4.3701,5.6187,6.243,6.74244,1.8729,0.176471,0.709205,0.6243,303.069981,5.505179,1.224745,17.408905,2.760448,-0.088142,1.70458,107.2,5.287301,27.955556,4.932184,112,93,19,0.092683,107,108,110,112,3,0.013825,2.96,1,115170,107.317287,1.043634,339.367058,#NAME?,-2.114897,6.551209,1,6,2,20,26
4,4,1/10/2016 20:28,1,0,185,5,10,1,1,7.9,8.646772,74.766667,109.452811,24,0,24,1,0,7.5,12,24,12,1,6.5,7.5,1297,11.388591,2.107372,36.013886,#NAME?,0.732066,2.307647,22,9.11653,83.111111,41.438771,36,11,25,0.531915,13,26,28,36,15,0.365854,8,7,5588,23.638951,1.52291,74.752926,#NAME?,-0.070488,1.554591,2.74692,1.13829,1.295704,41.438771,4.49496,1.37346,3.1215,0.531915,1.62318,3.24636,3.49608,4.49496,1.8729,0.365854,0.99888,0.87402,87.11703,2.951559,1.52291,9.33365,#NAME?,-0.070488,1.554591,79.4,5.337498,28.488889,6.72229,85,69,16,0.103896,76,81.5,83,85,7,0.044025,4.24,2,63300,79.561297,1.068359,251.594913,#NAME?,-0.93223,2.514127,1,6,2,20,26
5,5,1/10/2016 20:38,1,0,185,6,10,1,1,12.9,9.146341,83.655556,70.901869,33,0,33,1,7,11.5,16,33,9,0.391304,6.5,4.5,2417,15.546704,2.122636,49.162994,1.033375,0.906011,3.512259,30.7,7.572611,57.344444,24.666487,38,13,25,0.490196,28,31,38,38,10,0.151515,5.3,4,9941,31.529351,1.205226,99.704564,0.881645,-1.204056,4.029639,3.833202,0.945516,0.894001,24.666487,4.74468,1.62318,3.1215,0.490196,3.49608,3.87066,4.74468,4.74468,1.2486,0.151515,0.661758,0.49944,154.980385,3.936755,1.205226,12.449112,0.881645,-1.204056,4.029639,91.3,8.083591,65.344444,8.853878,103,79,24,0.131868,84,92.5,96,103,12,0.066667,6.3,5.5,83945,91.621504,1.12419,289.732635,#NAME?,-0.27906,1.94383,1,6,2,20,26
6,6,1/10/2016 20:48,1,0,185,7,10,1,1,24.6,20.227594,409.155556,82.225992,51,0,51,1,7,16.5,49,51,42,0.75,17.92,13,9734,31.199359,1.634649,98.661036,#NAME?,0.307874,1.400852,42.9,5.173651,26.766667,12.059793,50,34,16,0.190476,40,44,46,50,6,0.069767,3.94,3,18645,43.179856,1.157947,136.546695,#NAME?,-0.589255,2.335895,5.356494,0.645982,0.417293,12.059793,6.243,4.24524,1.99776,0.190476,4.9944,5.49384,5.74356,6.243,0.74916,0.069767,0.491948,0.37458,290.675915,5.391437,1.157947,17.04922,#NAME?,-0.589255,2.335895,104.8,7.480345,55.955556,7.137733,114,90,24,0.117647,101,105.5,110,114,9,0.042654,6.2,4.5,110334,105.039992,1.085301,332.165621,#NAME?,-0.545573,2.469405,1,6,2,20,26
7,7,1/10/2016 20:58,1,0,185,8,10,1,0,1.7,3.772709,14.233333,221.92406,11,0,11,1,0,0,0,11,0,,2.72,0,157,3.962323,2.77615,12.529964,0.868913,1.842073,4.807681,15.4,7.27553,52.933333,47.2437,30,10,20,0.5,12,13,13,30,1,0.04,5.44,1,2848,16.876018,1.77767,53.366656,0.477079,1.41831,3.205124,1.922844,0.908423,0.825232,47.2437,3.7458,1.2486,2.4972,0.5,1.49832,1.62318,1.62318,3.7458,0.12486,0.04,0.679238,0.12486,44.400376,2.10714,1.77767,6.663361,0.477079,1.41831,3.205124,81.6,7.791734,60.711111,9.548693,90,69,21,0.132075,76,83,89,90,13,0.078788,6.8,6,67132,81.93412,1.098443,259.098437,0.577654,-0.349519,1.613265,1,6,2,20,26
8,8,1/10/2016 21:08,1,0,185,9,10,1,0,2.2,3.011091,9.066667,136.867755,7,0,7,1,0,0,4,7,4,1,2.64,0,130,3.605551,1.941451,11.401754,0.031231,0.724851,1.837082,17.4,7.501111,56.266667,43.109833,28,10,18,0.473684,12,12.5,26,28,14,0.368421,6.88,2,3534,18.798936,1.489446,59.447456,0.430194,0.423373,1.289362,2.172564,0.936589,0.877198,43.109833,3.49608,1.2486,2.24748,0.473684,1.49832,1.56075,3.24636,3.49608,1.74804,0.368421,0.859037,0.24972,55.095129,2.347235,1.489446,7.422609,0.430194,0.423373,1.289362,77.5,3.566822,12.722222,4.602352,85,74,11,0.069182,74,77,80,85,6,0.038961,2.8,3,60177,77.573836,1.09573,245.310008,#NAME?,0.805279,2.850155,1,6,2,21,26
9,10,1/10/2016 21:28,1,0,185,11,10,1,0,1.8,5.6921,32.4,316.227766,18,0,18,1,0,0,0,18,0,,3.24,0,324,5.6921,3.162278,18,-0.359268,2.666667,8.111111,14.2,5.573748,31.066667,39.251746,30,12,18,0.428571,12,12.5,13,30,1,0.04,3.16,0.5,2296,15.152558,1.979864,47.916594,-0.248465,2.627189,7.9878,1.773012,0.695938,0.48433,39.251746,3.7458,1.49832,2.24748,0.428571,1.49832,1.56075,1.62318,3.7458,0.12486,0.04,0.394558,0.06243,35.794685,1.891948,1.979864,5.982866,-0.248465,2.627189,7.9878,80.8,3.489667,12.177778,4.318895,86,76,10,0.061728,79,80,84,86,5,0.030675,2.76,2,65396,80.867793,1.063464,255.726416,-0.616098,0.374379,1.938329,1,6,2,21,26
