,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,0,10/25/2015 18:50,1,0,15,1,6,1,0,28.1,42.396148,1797.433333,150.87597,112,0,112,1,0,4,64,112,64,1,35.34,4,24073,49.064244,2.282721,155.154761,#NAME?,1.072545,2.485419,37.3,28.122944,790.9,75.396634,72,12,60,0.714286,13,23.5,70,72,57,0.686747,25.36,11.5,21031,45.859568,1.57001,145.020688,0.47724,0.291068,1.205982,4.520387,3.40822,11.615961,75.396634,8.72568,1.45428,7.2714,0.714286,1.57547,2.847965,8.4833,8.72568,6.90783,0.686747,3.073378,1.393685,308.882636,5.557721,1.57001,17.575057,0.47724,0.291068,1.205982,88.4,22.480609,505.377778,25.430553,123,70,53,0.274611,71,76,116,123,45,0.240642,18.96,6,82694,90.936241,1.352596,287.565645,#NAME?,0.740439,1.725263,1,6,2,18,248
1,1,10/25/2015 19:00,1,0,15,2,6,1,0,4.8,10.411532,108.4,216.906918,33,0,33,1,0,0,6,33,6,1,6.72,0,1206,10.981803,3.004971,34.727511,#NAME?,2.254763,6.686687,17.6,8.235425,67.822222,46.792187,32,12,20,0.454545,12,13,26,32,14,0.368421,7.04,1,3708,19.256168,1.661805,60.893349,#NAME?,0.9581,2.049457,2.132944,0.998051,0.996106,46.792187,3.87808,1.45428,2.4238,0.454545,1.45428,1.57547,3.15094,3.87808,1.69666,0.368421,0.853178,0.12119,54.459456,2.333655,1.661805,7.379665,#NAME?,0.9581,2.049457,75.3,6.815831,46.455556,9.051569,86,68,18,0.116883,69,73.5,82,86,13,0.086093,5.76,5,57119,75.577113,1.137911,238.995816,#NAME?,0.392253,1.637264,1,6,2,19,248
2,2,10/25/2015 19:10,1,0,15,3,6,1,1,29.6,32.972042,1087.155556,111.392034,95,0,95,1,0,17,48,95,48,1,27.12,17,18546,43.065067,2.205964,136.183699,0.34647,0.83401,2.450749,34.7,17.994135,323.788889,51.856296,58,13,45,0.633803,13,37,50,58,37,0.587302,16.1,14,14955,38.671695,1.499805,122.290637,0.341896,-0.128856,1.365587,4.205293,2.180709,4.755493,51.856296,7.02902,1.57547,5.45355,0.633803,1.57547,4.48403,6.0595,7.02902,4.48403,0.587302,1.951159,1.69666,219.644326,4.686623,1.499805,14.820402,0.341896,-0.128856,1.365587,87.2,14.566323,212.177778,16.704499,105,68,37,0.213873,74,87.5,102,105,28,0.159091,13.2,14,77948,88.288165,1.189287,279.19169,0.533142,-0.045165,1.289466,1,6,2,19,248
3,3,10/25/2015 19:20,1,0,15,4,6,1,0,18.3,28.44898,809.344444,155.458905,68,0,68,1,0,0,43,68,43,1,24.02,0,10633,32.608281,2.08536,103.116439,#NAME?,0.994008,2.171111,28.5,18.506756,342.5,64.935984,56,12,44,0.647059,13,19.5,50,56,37,0.587302,16.2,7,11205,33.47387,1.672947,105.853673,#NAME?,0.460536,1.474276,3.453915,2.242834,5.030303,64.935984,6.78664,1.45428,5.33236,0.647059,1.57547,2.363205,6.0595,6.78664,4.48403,0.587302,1.963278,0.84833,164.568015,4.056698,1.672947,12.828407,#NAME?,0.460536,1.474276,84.7,13.283657,176.455556,15.683185,104,71,33,0.188571,74,80.5,102,104,28,0.159091,10.98,7,73329,85.632354,1.214494,270.793279,#NAME?,0.593536,1.659062,1,6,2,19,248
4,4,10/25/2015 19:30,1,0,15,5,6,1,0,26.2,42.402306,1797.955556,161.840863,97,0,97,1,0,0,79,97,79,1,36.68,0,23046,48.00625,2.02057,151.809091,#NAME?,0.906472,1.870772,25,21.979789,483.111111,87.919155,60,10,50,0.714286,10,12.5,52,60,42,0.677419,19,2.5,10598,32.55457,1.843059,102.946588,#NAME?,0.886461,1.836655,3.02975,2.663731,7.095461,87.919155,7.2714,1.2119,6.0595,0.714286,1.2119,1.514875,6.30188,7.2714,5.08998,0.677419,2.30261,0.302975,155.652997,3.945288,1.843059,12.476097,#NAME?,0.886461,1.836655,77.1,15.744135,247.877778,20.420408,99,60,39,0.245283,64,70,94,99,30,0.189873,14.12,8.5,61675,78.533432,1.26061,248.344519,#NAME?,0.396616,1.4015,1,6,2,19,248
5,6,10/25/2015 19:50,1,0,15,7,6,1,0,0.8,2.529822,6.4,316.227766,8,0,8,1,0,0,0,8,0,,1.44,0,64,2.529822,3.162278,8,#NAME?,2.666667,8.111111,11.9,4.306326,18.544444,36.187614,24,10,14,0.411765,10,10.5,11,24,1,0.047619,2.44,0.5,1583,12.581733,1.907527,39.786933,#NAME?,2.544691,7.719457,1.442161,0.521884,0.272363,36.187614,2.90856,1.2119,1.69666,0.411765,1.2119,1.272495,1.33309,2.90856,0.12119,0.047619,0.295704,0.060595,23.249546,1.52478,1.907527,4.821778,#NAME?,2.544691,7.719457,63.7,3.093003,9.566667,4.855577,69,58,11,0.086614,62,63.5,65,69,3,0.023622,2.3,1.5,40663,63.767547,1.082055,201.650688,#NAME?,-0.084072,2.739619,1,6,2,19,248
6,7,10/25/2015 20:00,1,0,15,8,6,1,0,1.5,3.566822,12.722222,237.788162,11,0,11,1,0,0,0,11,0,,2.4,0,137,3.701351,2.971888,11.7047,1.269131,2.183545,6.273431,14.8,7.375636,54.4,49.835375,32,10,22,0.52381,10,11.5,15,32,5,0.2,5.32,1.5,2680,16.370706,1.954711,51.768716,0.797275,1.575643,4.036857,1.793612,0.893853,0.798974,49.835375,3.87808,1.2119,2.66618,0.52381,1.2119,1.393685,1.81785,3.87808,0.60595,0.2,0.644731,0.181785,39.361203,1.983966,1.954711,6.273851,0.797275,1.575643,4.036857,75,12.26558,150.444444,16.354106,94,64,30,0.189873,64,71.5,85,94,21,0.14094,10.2,7.5,57604,75.897299,1.238516,240.008333,-0.494363,0.585325,1.792806,1,6,2,20,248
7,8,10/25/2015 20:10,1,0,15,9,6,1,0,1.5,3.17105,10.055556,211.403307,8,0,8,1,0,0,0,8,0,,2.4,0,113,3.361547,2.379856,10.630146,0.652973,1.520644,3.346204,22,11.925696,142.222222,54.207709,42,12,30,0.555556,13,14.5,34,42,21,0.446809,10.6,2.5,6120,24.738634,1.697749,78.230429,0.476564,0.621895,1.661841,2.66618,1.445275,2.08882,54.207709,5.08998,1.45428,3.6357,0.555556,1.57547,1.757255,4.12046,5.08998,2.54499,0.446809,1.284614,0.302975,89.884539,2.998075,1.697749,9.480746,0.476564,0.621895,1.661841,85.2,10.282672,105.733333,12.068863,101,74,27,0.154286,76,81,97,101,21,0.121387,9.04,6,73542,85.756632,1.177751,271.186283,#NAME?,0.413769,1.50715,1,6,2,20,248
8,9,10/25/2015 20:20,1,0,15,10,6,1,0,1.7,2.790858,7.788889,164.168123,7,0,7,1,0,0,5,7,5,1,2.38,0,99,3.146427,2.224746,9.949874,0.634641,1.004097,2.207356,18.4,8.514041,72.488889,46.27196,32,12,20,0.454545,13,13,30,32,17,0.395349,7.36,0.5,4038,20.094775,1.592454,63.545259,0.938118,0.863168,1.797022,2.229896,1.031817,1.064645,46.27196,3.87808,1.45428,2.4238,0.454545,1.57547,1.57547,3.6357,3.87808,2.06023,0.395349,0.891958,0.060595,59.306171,2.435286,1.592454,7.70105,0.938118,0.863168,1.797022,83.4,3.977716,15.822222,4.769443,89,74,15,0.092025,83,84,85,89,2,0.011905,2.52,1,69698,83.485328,1.066056,264.003788,-0.330154,-1.149175,4.437902,1,6,2,20,248
9,10,10/25/2015 20:30,1,0,15,11,6,1,0,1,2.160247,4.666667,216.02469,6,0,6,1,0,0,0,6,0,,1.6,0,52,2.280351,2.631174,7.211103,0.73519,1.672972,4.047619,14.5,5.08265,25.833333,35.05276,24,10,14,0.411765,12,12.5,13,24,1,0.04,3.8,0.5,2335,15.280707,1.570608,48.321838,1.103285,1.383494,3.121124,1.757255,0.615966,0.379415,35.05276,2.90856,1.2119,1.69666,0.411765,1.45428,1.514875,1.57547,2.90856,0.12119,0.04,0.460522,0.060595,34.294183,1.851869,1.570608,5.856124,1.103285,1.383494,3.121124,68.5,2.12132,4.5,3.096818,71,65,6,0.044118,67,69,70,71,3,0.021898,1.8,2,46963,68.529556,1.036049,216.709483,#NAME?,-0.331269,1.753544,1,6,2,20,248
10,11,10/25/2015 20:40,1,0,15,12,6,1,0,1.5,4.743416,22.5,316.227766,15,0,15,1,0,0,0,15,0,,2.7,0,225,4.743416,3.162278,15,0.793243,2.666667,8.111111,13.8,5.072803,25.733333,36.759444,28,10,18,0.473684,12,12.5,13,28,1,0.04,2.84,0.5,2136,14.615061,1.915832,46.21688,0.571121,2.49696,7.627131,1.672422,0.614773,0.377946,36.759444,3.39332,1.2119,2.18142,0.473684,1.45428,1.514875,1.57547,3.39332,0.12119,0.04,0.34418,0.060595,31.371466,1.771199,1.915832,5.601024,0.571121,2.49696,7.627131,70.8,2.780887,7.733333,3.927807,74,67,7,0.049645,69,71,74,74,5,0.034965,2.4,2.5,50196,70.849135,1.044473,224.044638,#NAME?,-0.109794,1.56302,1,6,2,20,248
