,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,0,9/25/2015 10:21,6,1,1,1,57,2,0,31.3,47.490467,2255.344444,151.726731,110,0,110,1,0,2,77,110,77,1,40.42,2,30095,54.85891,2.005144,173.479105,#NAME?,0.953734,2.054281,28.9,21.3721,456.766667,73.951904,62,11,51,0.69863,12,19.5,50,62,38,0.612903,17.68,8.5,12463,35.302974,1.756226,111.637807,#NAME?,0.68094,1.793776,3.258186,2.409491,5.805645,73.951904,6.98988,1.24014,5.74974,0.69863,1.35288,2.19843,5.637,6.98988,4.28412,0.612903,1.993243,0.95829,158.408564,3.980057,1.756226,12.586046,#NAME?,0.68094,1.793776,88.9,10.774971,116.1,12.120327,109,79,30,0.159574,80,85,93,109,13,0.075145,8.68,6,80077,89.485753,1.218071,282.978798,0.706861,0.868503,2.373925,0,4,1,10,239
1,6,9/26/2015 9:25,7,0,15,1,10,1,0,38.8,45.513856,2071.511111,117.303753,102,0,102,1,0,12.5,92,102,92,1,41.36,12.5,33698,58.049978,1.757107,183.57015,0.205165,0.464894,1.353451,37.8,21.233098,450.844444,56.172217,66,12,54,0.692308,13,40,54,66,41,0.61194,19,17,18346,42.832231,1.540896,135.447407,0.116516,-0.074771,1.371416,4.261572,2.393819,5.730372,56.172217,7.44084,1.35288,6.08796,0.692308,1.46562,4.5096,6.08796,7.44084,4.62234,0.61194,2.14206,1.91658,233.183303,4.828906,1.540896,15.270341,0.116516,-0.074771,1.371416,97.4,16.426266,269.822222,16.86475,125,66,59,0.308901,87,98,109,125,22,0.112245,12,11,97296,98.638735,1.267251,311.923067,0.018535,-0.289693,2.822878,1,5,1,9,239
2,7,9/26/2015 9:35,7,0,15,2,10,1,1,23.6,26.961701,726.933333,114.244497,70,0,70,1,0,14.5,49,70,49,1,23.6,14.5,12112,34.802299,2.011361,110.054532,#NAME?,0.4404,1.681944,42.1,25.860523,668.766667,61.426421,76,10,66,0.767442,11,41,72,76,61,0.73494,20.12,30,23743,48.726789,1.559717,154.087637,0.868009,0.014108,1.646789,4.746354,2.915515,8.50023,61.426421,8.56824,1.1274,7.44084,0.767442,1.24014,4.62234,8.11728,8.56824,6.87714,0.73494,2.268329,3.3822,301.780833,5.493458,1.559717,17.37184,0.868009,0.014108,1.646789,109.6,26.504507,702.488889,24.182944,145,75,70,0.318182,90,103,139,145,49,0.213974,22.12,22.5,126444,112.447321,1.289493,355.589651,-0.48709,0.148324,1.651849,1,5,1,9,239
3,8,9/26/2015 9:45,7,0,15,3,10,1,1,26.9,33.177804,1100.766667,123.337561,85,0,85,1,0,9.5,66,85,66,1,28.06,9.5,17143,41.404106,2.052936,130.93128,0.880674,0.836827,1.940231,39,16.110728,259.555556,41.309559,56,12,44,0.647059,26,46,50,56,24,0.315789,13.2,5.5,17546,41.887946,1.3369,132.461315,#NAME?,-0.828829,2.116734,4.39686,1.816323,3.299031,41.309559,6.31344,1.35288,4.96056,0.647059,2.93124,5.18604,5.637,6.31344,2.70576,0.315789,1.488168,0.62007,223.015057,4.722447,1.3369,14.933689,#NAME?,-0.828829,2.116734,108.4,13.133503,172.488889,12.115777,126,86,40,0.188679,94,112,118,126,24,0.113208,10.52,6.5,119058,109.113702,1.154759,345.047823,0.417403,-0.503124,1.960218,1,5,1,9,239
4,9,9/26/2015 9:55,7,0,15,4,10,1,1,10.7,12.454807,155.122222,116.400067,30,0,30,1,0,5,24,30,24,1,10.84,5,2541,15.940514,1.881997,50.408333,-0.078278,0.439369,1.497886,40.1,10.723287,114.988889,26.741365,56,14,42,0.6,38,41.5,44,56,6,0.073171,6.66,3,17115,41.370279,1.353629,130.82431,#NAME?,-1.288889,4.951781,4.520874,1.208943,1.461544,26.741365,6.31344,1.57836,4.73508,0.6,4.28412,4.67871,4.96056,6.31344,0.67644,0.073171,0.750848,0.33822,217.536915,4.664085,1.353629,14.749133,#NAME?,-1.288889,4.951781,115.9,5.896327,34.766667,5.087426,127,108,19,0.080851,112,115.5,118,127,6,0.026087,4.5,3,134641,116.034909,1.094498,366.934599,#NAME?,0.481568,2.468008,1,5,1,9,239
5,10,9/26/2015 10:05,7,0,15,5,10,1,1,9.7,13.266918,176.011111,136.77235,36,0,36,1,0,4,12,36,12,1,10.04,4,2525,15.890249,2.26554,50.249378,-0.122669,1.103589,2.759881,36,12.165525,148,33.793125,52,15,37,0.552239,33,39,42,52,9,0.12,9,4.5,14292,37.804762,1.375488,119.549153,0.39044,-0.847724,2.630942,4.05864,1.371541,1.881126,33.793125,5.86248,1.6911,4.17138,0.552239,3.72042,4.39686,4.73508,5.86248,1.01466,0.12,1.01466,0.50733,181.655716,4.262109,1.375488,13.477972,0.39044,-0.847724,2.630942,110.3,5.396501,29.122222,4.892567,119,103,16,0.072072,107,109,113,119,6,0.027273,4.36,4,121923,110.418748,1.077716,349.174741,#NAME?,0.34493,2.026012,1,5,1,10,239
6,11,9/26/2015 10:15,7,0,15,6,10,1,0,13.7,21.302321,453.788889,155.491396,54,0,54,1,0,0,17,54,17,1,16.44,0,5961,24.415159,2.211741,77.207513,0.614603,1.186182,2.749114,22.6,13.048627,170.266667,57.737288,42,12,30,0.555556,13,13,34,42,21,0.446809,11.92,1,6640,25.768197,1.629916,81.486195,1.043896,0.50668,1.389601,2.547924,1.471102,2.164142,57.737288,4.73508,1.35288,3.3822,0.555556,1.46562,1.46562,3.83316,4.73508,2.36754,0.446809,1.343861,0.11274,84.396442,2.905107,1.629916,9.186754,1.043896,0.50668,1.389601,95.1,3.573047,12.766667,3.757147,100,89,11,0.058201,93,94.5,99,100,6,0.03125,2.92,2.5,90555,95.160391,1.050857,300.923578,0.090583,-0.085962,1.946292,1,5,1,10,239
7,12,9/26/2015 10:25,7,0,15,7,10,1,0,4.3,7.087548,50.233333,164.826692,18,0,18,1,0,0,12,18,12,1,6.02,0,637,7.981228,2.255292,25.238859,1.217638,1.029604,2.29287,17.4,8.315982,69.155556,47.793,32,12,20,0.454545,12,12.5,28,32,16,0.4,7.16,0.5,3650,19.104973,1.674957,60.41523,1.081197,0.923878,1.953832,1.961676,0.937544,0.878988,47.793,3.60768,1.35288,2.2548,0.454545,1.35288,1.40925,3.15672,3.60768,1.80384,0.4,0.807218,0.05637,46.392623,2.153895,1.674957,6.811213,1.081197,0.923878,1.953832,87.7,3.802046,14.455556,4.335286,96,82,14,0.078652,86,87.5,89,96,3,0.017143,2.7,1.5,77043,87.774142,1.093716,277.566208,-5.113656,0.72957,3.568175,1,5,1,10,239
8,13,9/26/2015 15:29,7,0,18,1,10,1,3,17.6,22.741054,517.155556,129.210536,72,0,72,1,0,11,30,72,30,1,16.72,11,7752,27.842414,2.585983,88.045443,#NAME?,1.42882,4.252607,75.9,10.566719,111.655556,13.921896,90,57,33,0.22449,74,80,82,90,8,0.051282,7.74,3,58613,76.559127,1.175562,242.101219,0.92549,-0.896356,2.70757,8.556966,1.191292,1.419176,13.921896,10.1466,6.42618,3.72042,0.22449,8.34276,9.0192,9.24468,10.1466,0.90192,0.051282,0.872608,0.33822,744.989259,8.631276,1.175562,27.294491,0.92549,-0.896356,2.70757,145.5,10.024969,100.5,6.890013,155,128,27,0.095406,144,148.5,152,155,8,0.027027,7.5,4,212607,145.810493,1.063024,461.093266,#NAME?,-0.979626,2.521679,1,5,1,15,239
9,14,9/26/2015 15:39,7,0,18,2,10,1,3,9.111111,10.005554,100.111111,109.817056,27,0,27,1,0,7,16.25,27,16.25,1,8.567901,7,1548,13.114877,2.058731,39.344631,0.358468,0.49133,1.926777,42.666667,27.12932,736,63.584344,73,13,60,0.697674,14.5,34,70.5,73,56,0.658824,24.518519,21,22272,49.746022,1.467454,149.238065,0.897234,0.060234,1.201584,4.81024,3.05856,9.354786,63.584344,8.23002,1.46562,6.7644,0.697674,1.63473,3.83316,7.94817,8.23002,6.31344,0.658824,2.764218,2.36754,283.083971,5.608366,1.467454,16.825099,0.897234,0.060234,1.201584,117.222222,17.984561,323.444444,15.34228,140,97,43,0.181435,100.75,109,136,140,35.25,0.148891,16.246914,12,126257,118.442203,1.182011,355.32661,1.042344,0.214267,1.280194,1,5,1,15,239
