,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
10,44,11/24/2015 7:22,3,1,1,45,18,1,0,7.9,13.194696,174.1,167.021467,43,0,43,1,0,3.5,10,43,10,1,8.26,3.5,2191,14.802027,2.905008,46.808119,#NAME?,2.082975,6.262799,19.1,8.595218,73.877778,45.001143,34,11,23,0.511111,11,18.5,26,34,15,0.405405,7.7,7.5,4313,20.767763,1.637153,65.673435,#NAME?,0.340765,1.664316,1.82214,0.819984,0.672373,45.001143,3.2436,1.0494,2.1942,0.511111,1.0494,1.7649,2.4804,3.2436,1.431,0.405405,0.73458,0.7155,39.253303,1.981245,1.637153,6.265246,#NAME?,0.340765,1.664316,78.3,3.301515,10.9,4.216494,84,74,10,0.063291,76,78,80,84,4,0.025641,2.56,2,61407,78.362619,1.07194,247.804358,0.448415,0.502639,2.149523,0,1,3,7,360
11,45,11/24/2015 7:37,3,1,2,1,43,2,1,27.8,36.177955,1308.844444,130.13653,89,0,89,1,0,6.5,69,89,69,1,30.76,6.5,19508,44.167862,2.01504,139.671042,#NAME?,0.755922,1.81035,26.8,16.464102,271.066667,61.433218,52,10,42,0.677419,11,25,42,52,31,0.584906,13.76,14.5,9622,31.019349,1.676373,98.091794,#NAME?,0.315495,1.5884,2.55672,1.570675,2.467021,61.433218,4.9608,0.954,4.0068,0.677419,1.0494,2.385,4.0068,4.9608,2.9574,0.584906,1.312704,1.3833,87.571362,2.959246,1.676373,9.357957,#NAME?,0.315495,1.5884,84.6,8.071899,65.155556,9.541252,102,74,28,0.159091,80,83,87,102,7,0.041916,5.92,3.5,72158,84.945865,1.200765,268.622412,#NAME?,0.93227,3.261249,0,1,3,7,360
12,46,11/24/2015 7:47,3,1,2,2,43,2,0,3,6.599663,43.555556,219.988776,19,0,19,1,0,0,0,19,0,,4.8,0,482,6.942622,2.736718,21.954498,#NAME?,1.789506,4.573615,14.1,7.340148,53.877778,52.05779,28,10,18,0.473684,10,11,11,28,1,0.047619,5.56,0.5,2473,15.725775,1.780516,49.729267,#NAME?,1.48538,3.230993,1.34514,0.70025,0.49035,52.05779,2.6712,0.954,1.7172,0.473684,0.954,1.0494,1.0494,2.6712,0.0954,0.047619,0.530424,0.0477,22.507169,1.500239,1.780516,4.744172,#NAME?,1.48538,3.230993,72.6,6.801961,46.266667,9.369092,88,68,20,0.128205,69,69.5,72,88,3,0.021277,4.96,1.5,53124,72.886213,1.207361,230.486442,#NAME?,1.535666,3.777871,0,1,3,7,360
13,51,11/24/2015 8:37,3,1,2,7,43,2,0,0.5,1.581139,2.5,316.227766,5,0,5,1,0,0,0,5,0,,0.9,0,25,1.581139,3.162278,5,0.793243,2.666667,8.111111,11.8,3.614784,13.066667,30.633767,22,10,12,0.375,10,11,11,22,1,0.047619,2.04,0,1510,12.288206,1.790335,38.858718,0.801111,2.580415,7.851381,1.12572,0.34485,0.118922,30.633767,2.0988,0.954,1.1448,0.375,0.954,1.0494,1.0494,2.0988,0.0954,0.047619,0.194616,0,13.742752,1.172295,1.790335,3.707122,0.801111,2.580415,7.851381,63.6,1.837873,3.377778,2.889738,67,61,6,0.046875,62,63.5,64,67,2,0.015873,1.4,1,40480,63.623895,1.053063,201.196421,-0.734295,0.511657,2.444945,0,1,3,8,360
14,52,11/24/2015 8:47,3,1,2,8,43,2,0,0.6,1.897367,3.6,316.227766,6,0,6,1,0,0,0,6,0,,1.08,0,36,1.897367,3.162278,6,#NAME?,2.666667,8.111111,11.7,3.653005,13.344444,31.222264,22,10,12,0.375,10,11,11,22,1,0.047619,2.06,0.5,1489,12.202459,1.802915,38.587563,#NAME?,2.574073,7.827017,1.11618,0.348497,0.12145,31.222264,2.0988,0.954,1.1448,0.375,0.954,1.0494,1.0494,2.0988,0.0954,0.047619,0.196524,0.0477,13.551627,1.164115,1.802915,3.681253,#NAME?,2.574073,7.827017,64.9,2.18327,4.766667,3.364052,68,61,7,0.054264,64,65,67,68,3,0.022901,1.54,1.5,42163,64.933042,1.047233,205.33631,-0.634345,-0.406501,2.358045,0,1,3,8,360
15,60,11/24/2015 11:54,3,1,5,7,18,1,1,33.4,44.176917,1951.6,132.266219,121,0,121,1,0,8,59,121,59,1,36.08,8,28720,53.591044,2.25784,169.469761,-0.675717,1.005939,2.53436,30.1,18.805732,353.655556,62.477515,62,11,51,0.69863,11,25,42,62,31,0.584906,15.12,14,12243,34.989999,1.771935,110.648091,#NAME?,0.597835,2.042893,2.87154,1.794067,3.218676,62.477515,5.9148,1.0494,4.8654,0.69863,1.0494,2.385,4.0068,5.9148,2.9574,0.584906,1.442448,1.3356,111.425502,3.338046,1.771935,10.555828,#NAME?,0.597835,2.042893,76.7,16.445533,270.455556,21.441373,103,57,46,0.2875,60,76,89,103,29,0.194631,14.1,14.5,61263,78.270684,1.315946,247.513636,#NAME?,0.204234,1.63822,0,1,1,11,360
16,61,11/24/2015 12:04,3,1,5,8,18,1,1,19.6,21.156559,447.6,107.941629,70,0,70,1,6,14.5,28,70,22,0.647059,14.92,11,7870,28.05352,2.495231,88.71302,1.590627,1.388297,4.233178,26.5,9.924717,98.5,37.451761,44,10,34,0.62963,26,28,30,44,4,0.071429,6.7,2,7909,28.122944,1.564559,88.932559,0.263191,-0.306945,2.888405,2.5281,0.946818,0.896464,37.451761,4.1976,0.954,3.2436,0.62963,2.4804,2.6712,2.862,4.1976,0.3816,0.071429,0.63918,0.1908,71.981074,2.682929,1.564559,8.484166,0.263191,-0.306945,2.888405,85.5,6.519202,42.5,7.624798,97,73,24,0.141176,82,86,89,97,7,0.040936,4.6,3.5,73485,85.723392,1.131546,271.081169,0.878669,-0.253632,3.03737,0,1,1,12,360
17,64,11/24/2015 14:44,3,1,10,3,18,1,0,1,2.160247,4.666667,216.02469,6,0,6,1,0,0,0,6,0,,1.6,0,52,2.280351,2.631174,7.211103,0.77137,1.672972,4.047619,13.2,5.711587,32.622222,43.269596,24,10,14,0.411765,10,11,11,24,1,0.047619,4.32,1,2036,14.268847,1.681986,45.122057,0.979633,1.474516,3.216079,1.25928,0.544885,0.2969,43.269596,2.2896,0.954,1.3356,0.411765,0.954,1.0494,1.0494,2.2896,0.0954,0.047619,0.412128,0.0954,18.529962,1.361248,1.681986,4.304644,0.979633,1.474516,3.216079,64.5,5.930149,35.166667,9.194029,73,57,16,0.123077,59,64.5,69,73,10,0.078125,4.7,5,41919,64.744884,1.127502,204.7413,#NAME?,0.1668,1.810644,0,1,1,14,360
18,72,11/24/2015 16:04,3,1,10,11,18,1,0,5.2,8.664102,75.066667,166.61735,21,0,21,1,0,0,12,21,12,1,7.28,0,946,9.726253,2.159105,30.757113,0.818497,1.062933,2.318922,15.2,7.524774,56.622222,49.505091,28,10,18,0.473684,10,11,24,28,14,0.411765,6.48,1,2820,16.792856,1.667376,53.103672,1.025209,0.912672,1.920872,1.45008,0.717863,0.515328,49.505091,2.6712,0.954,1.7172,0.473684,0.954,1.0494,2.2896,2.6712,1.3356,0.411765,0.618192,0.0954,25.665271,1.602038,1.667376,5.06609,1.025209,0.912672,1.920872,70.9,5.762908,33.211111,8.12822,82,63,19,0.131034,69,70,73,82,4,0.028169,4.1,2,50567,71.110477,1.153135,224.871074,0.278244,0.546269,2.679854,0,1,1,16,360
19,73,11/24/2015 16:14,3,1,10,12,18,1,0,1.2,3.794733,14.4,316.227766,12,0,12,1,0,0,0,12,0,,2.16,0,144,3.794733,3.162278,12,#NAME?,2.666667,8.111111,11.6,5.059644,25.6,43.617623,26,10,16,0.444444,10,10,10,26,0,0,2.88,0,1576,12.553884,2.071072,39.698866,#NAME?,2.666667,8.111111,1.10664,0.48269,0.23299,43.617623,2.4804,0.954,1.5264,0.444444,0.954,0.954,0.954,2.4804,0,0,0.274752,0,14.343428,1.197641,2.071072,3.787272,#NAME?,2.666667,8.111111,53.7,9.322017,86.9,17.359436,72,43,29,0.252174,45,52.5,59,72,14,0.134615,7.24,7,29619,54.423341,1.322962,172.101714,#NAME?,0.571546,2.496081,0,1,1,16,360
20,75,11/24/2015 16:34,3,1,10,14,18,1,0,1.3,4.110961,16.9,316.227766,13,0,13,1,0,0,0,13,0,,2.34,0,169,4.110961,3.162278,13,#NAME?,2.666667,8.111111,12.2,4.871687,23.733333,39.93186,26,10,16,0.444444,10,11,11,26,1,0.047619,2.76,0,1702,13.046072,1.992937,41.255303,#NAME?,2.619307,7.967155,1.16388,0.464759,0.216001,39.93186,2.4804,0.954,1.5264,0.444444,0.954,1.0494,1.0494,2.4804,0.0954,0.047619,0.263304,0,15.490174,1.244595,1.992937,3.935756,#NAME?,2.619307,7.967155,72,5.270463,27.777778,7.320087,78,63,15,0.106383,70,73,76,78,6,0.041096,4.2,3,52090,72.173402,1.080731,228.232338,#NAME?,-0.624,2.10208,0,1,1,16,360
