,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,0,9/24/2015 12:08,5,1,15,1,5,1,1,40.6,30.015552,900.933333,73.92993,98,0,98,1,19,45.5,58,98,39,0.506494,23.28,15.5,24592,49.590322,1.976192,156.818366,#NAME?,0.244718,2.550666,31.6,13.048627,170.266667,41.293123,54,11,43,0.661538,26,35,38,54,12,0.1875,9.68,4,11518,33.938179,1.591128,107.321946,#NAME?,-0.291966,2.633268,2.840208,1.172811,1.375485,41.293123,4.85352,0.98868,3.86484,0.661538,2.33688,3.1458,3.41544,4.85352,1.07856,0.1875,0.870038,0.35952,93.047177,3.050364,1.591128,9.646096,#NAME?,-0.291966,2.633268,73,8.37987,70.222222,11.479274,84,59,25,0.174825,66,74.5,80,84,14,0.09589,7,7,53922,73.431601,1.143922,232.211111,#NAME?,-0.279442,1.808805,0,3,1,12,215
1,1,9/24/2015 12:18,5,1,15,2,5,1,0,3.1,8.198238,67.211111,264.4593,26,0,26,1,0,0,0,26,0,,4.96,0,701,8.372574,3.105377,26.476405,0.815151,2.50339,7.53634,13.8,7.11493,50.622222,51.55746,30,10,20,0.5,10,11,11,30,1,0.047619,5.28,1,2360,15.362291,1.952834,48.579831,0.993191,1.627671,3.891625,1.240344,0.63949,0.408947,51.55746,2.6964,0.8988,1.7976,0.5,0.8988,0.98868,0.98868,2.6964,0.08988,0.047619,0.474566,0.08988,19.065058,1.380763,1.952834,4.366355,0.993191,1.627671,3.891625,60.4,4.195235,17.6,6.945754,68,53,15,0.123967,59,60,62,68,3,0.024793,2.88,1.5,36640,60.530984,1.123392,191.415778,2.163874,0.074997,2.856864,0,3,1,12,215
2,4,9/24/2015 12:48,5,1,15,5,5,1,0,2.8,6.356099,40.4,227.003551,19,0,19,1,0,0,0,19,0,,4.48,0,442,6.648308,2.85787,21.023796,0.781052,1.967744,5.358658,13.4,6.149977,37.822222,45.895354,26,10,16,0.444444,10,11,11,26,1,0.047619,4.64,1,2136,14.615061,1.778987,46.21688,0.620715,1.499922,3.322347,1.204392,0.55276,0.305544,45.895354,2.33688,0.8988,1.43808,0.444444,0.8988,0.98868,0.98868,2.33688,0.08988,0.047619,0.417043,0.08988,17.255493,1.313602,1.778987,4.153973,0.620715,1.499922,3.322347,58.8,3.675746,13.511111,6.251269,66,53,13,0.109244,57,58.5,61,66,4,0.033898,2.8,2.5,34696,58.903311,1.12048,186.268623,#NAME?,0.337332,2.785795,0,3,1,12,215
3,5,9/24/2015 12:58,5,1,15,6,5,1,0,0.9,2.84605,8.1,316.227766,9,0,9,1,0,0,0,9,0,,1.62,0,81,2.84605,3.162278,9,#NAME?,2.666667,8.111111,12.3,4.110961,16.9,33.422447,24,11,13,0.371429,11,11,11,24,0,0,2.34,0,1665,12.903488,1.859962,40.804412,#NAME?,2.666667,8.111111,1.105524,0.369493,0.136525,33.422447,2.15712,0.98868,1.16844,0.371429,0.98868,0.98868,0.98868,2.15712,0,0,0.210319,0,13.45056,1.159765,1.859962,3.667501,#NAME?,2.666667,8.111111,60.1,1.852926,3.433333,3.083071,63,58,5,0.041322,58,60,62,63,4,0.033333,1.52,2,36151,60.125702,1.047805,190.134163,0.350613,0.178949,1.646998,0,3,1,12,215
4,8,9/24/2015 13:28,5,1,15,9,5,1,0,6.1,14.066904,197.877778,230.604978,45,0,45,1,0,0,8,45,8,1,8.54,0,2153,14.673105,3.066836,46.400431,#NAME?,2.410515,7.250344,15.8,8.416914,70.844444,53.271609,34,10,24,0.545455,11,11,24,34,13,0.371429,6.92,0,3134,17.703107,1.920567,55.98214,#NAME?,1.232049,3.027524,1.420104,0.756512,0.572311,53.271609,3.05592,0.8988,2.15712,0.545455,0.98868,0.98868,2.15712,3.05592,1.16844,0.371429,0.62197,0,25.317751,1.591155,1.920567,5.031675,#NAME?,1.232049,3.027524,61.6,4.221637,17.822222,6.853307,69,55,14,0.112903,59,61,62,69,3,0.024793,2.92,1.5,38106,61.730058,1.11777,195.207582,#NAME?,0.490534,2.638336,0,3,1,13,215
5,12,9/27/2015 9:24,1,0,27,4,5,1,0,0.9,2.84605,8.1,316.227766,9,0,9,1,0,0,0,9,0,,1.62,0,81,2.84605,3.162278,9,0.793243,2.666667,8.111111,11.6,4.376706,19.155556,37.730224,24,10,14,0.411765,10,10,11,24,1,0.047619,2.48,0,1518,12.320714,1.947939,38.961519,1.530389,2.622882,7.97001,1.042608,0.393378,0.154747,37.730224,2.15712,0.8988,1.25832,0.411765,0.8988,0.8988,0.98868,2.15712,0.08988,0.047619,0.222902,0,12.263033,1.107386,1.947939,3.501861,1.530389,2.622882,7.97001,65.2,4.871687,23.733333,7.471912,75,58,17,0.12782,62,64.5,68,75,6,0.046154,3.64,3,42724,65.363598,1.147428,206.697847,#NAME?,0.589308,2.837331,1,6,1,9,215
6,14,9/27/2015 9:44,1,0,27,6,5,1,0,3.4,7.890923,62.266667,232.085972,24,0,24,1,0,0,0,24,0,,5.44,0,676,8.221922,2.919026,26,#NAME?,2.077372,5.828659,13.9,6.935416,48.1,49.895082,28,10,18,0.473684,10,11,11,28,1,0.047619,5.24,0.5,2365,15.378556,1.820717,48.631266,#NAME?,1.500868,3.308868,1.249332,0.623355,0.388572,49.895082,2.51664,0.8988,1.61784,0.473684,0.8988,0.98868,0.98868,2.51664,0.08988,0.047619,0.470971,0.04494,19.10545,1.382225,1.820717,4.370978,#NAME?,1.500868,3.308868,59.6,5.168279,26.711111,8.67161,69,51,18,0.15,57,59,61,69,4,0.033898,3.8,2,35762,59.801338,1.15382,189.108435,#NAME?,0.287708,2.676756,1,6,1,9,215
7,17,9/27/2015 10:14,1,0,27,9,5,1,1,24.625,19.733492,389.410714,80.136009,52,0,52,1,7,24.5,41,52,34,0.708333,16.875,16.5,7577,30.775396,1.689661,87.045965,#NAME?,-0.034024,1.575267,25.875,10.006248,100.125,38.67149,36,10,26,0.565217,18.5,29,33,36,14.5,0.281553,7.6875,4,6057,27.515904,1.308334,77.826731,#NAME?,-0.824391,2.101766,2.325645,0.899362,0.808851,38.67149,3.23568,0.8988,2.33688,0.565217,1.66278,2.60652,2.96604,3.23568,1.30326,0.281553,0.690952,0.35952,48.930956,2.473129,1.308334,6.995067,#NAME?,-0.824391,2.101766,68.125,11.6795,136.410714,17.14422,81,52,29,0.218045,56.5,71.5,78,81,21.5,0.159851,9.84375,8,38083,68.995471,1.17399,195.148661,#NAME?,-0.441432,1.619538,1,6,1,10,215
8,18,9/27/2015 21:04,1,0,38,1,5,1,0,14.7,19.154634,366.9,130.303632,49,0,49,1,0,5,24,49,24,1,15.64,5,5463,23.373061,2.096431,73.91211,-0.19777,0.884417,2.264154,21.4,11.99259,143.822222,56.040142,38,10,28,0.583333,10,19.5,32,38,22,0.52381,11,9.5,5874,24.236336,1.567894,76.642025,0.257339,0.187285,1.264457,1.923432,1.077894,1.161856,56.040142,3.41544,0.8988,2.51664,0.583333,0.8988,1.75266,2.87616,3.41544,1.97736,0.52381,0.98868,0.85386,47.452606,2.178362,1.567894,6.888585,0.257339,0.187285,1.264457,76.5,9.743944,94.944444,12.737182,90,65,25,0.16129,67,74,88,90,21,0.135484,8.4,8,59377,77.056473,1.167975,243.673962,#NAME?,0.243071,1.478705,1,6,2,21,215
9,19,9/27/2015 21:14,1,0,38,2,5,1,0,5.9,15.466451,239.211111,262.14324,49,0,49,1,0,0,0,49,0,,9.44,0,2501,15.81455,3.098412,50.009999,#NAME?,2.484691,7.466467,14.2,8.804039,77.511111,62.000278,36,10,26,0.565217,10,10,11,36,1,0.047619,6.32,0,2714,16.474222,2.185232,52.096065,#NAME?,1.852109,4.873226,1.276296,0.791307,0.626167,62.000278,3.23568,0.8988,2.33688,0.565217,0.8988,0.8988,0.98868,3.23568,0.08988,0.047619,0.568042,0,21.924817,1.480703,2.185232,4.682394,#NAME?,1.852109,4.873226,68.6,5.358275,28.711111,7.810897,79,63,16,0.112676,65,67,69,79,4,0.029851,3.92,2,47318,68.78808,1.148455,217.52701,-1.312102,1.037452,2.750918,1,6,2,21,215
10,20,9/27/2015 21:24,1,0,38,3,5,1,0,16.142857,28.198278,795.142857,174.679595,77,0,77,1,0,0,19.5,77,19.5,1,18.77551,0,6595,30.694346,2.508605,81.209605,#NAME?,1.675435,4.302146,21,14,196,66.666667,46,10,36,0.642857,11,11,29.5,46,18.5,0.45679,11.714286,1,4263,24.677925,1.864014,65.291653,#NAME?,0.811273,2.248482,1.88748,1.25832,1.583369,66.666667,4.13448,0.8988,3.23568,0.642857,0.98868,0.98868,2.65146,4.13448,1.66278,0.45679,1.05288,0.08988,34.438281,2.218052,1.864014,5.868414,#NAME?,0.811273,2.248482,74.571429,8.521681,72.619048,11.427542,88,62,26,0.173333,68.25,75,78,88,9.75,0.066667,6.040816,3,39362,74.987618,1.173527,198.398589,#NAME?,-0.033234,2.329146,1,6,2,21,215
