,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,2,8/21/2016 1:53,1,0,41,3,3,1,1,77.7,59.836908,3580.455556,77.010178,146,0,146,1,4,86.5,131,146,127,0.940741,50.7,50.5,92597,96.227335,1.51724,304.297552,#NAME?,-0.271332,1.492846,49,25.935818,672.666667,52.930241,75,10,65,0.764706,24,56,73,75,49,0.505155,21.4,17,30064,54.830648,1.367848,173.389734,#NAME?,-0.536125,1.717206,4.64765,2.460012,6.051661,52.930241,7.11375,0.9485,6.16525,0.764706,2.2764,5.3116,6.92405,7.11375,4.64765,0.505155,2.02979,1.61245,270.471452,5.200687,1.367848,16.446016,#NAME?,-0.536125,1.717206,111.4,21.308319,454.044444,19.127755,140,83,57,0.255605,90,114.5,130,140,40,0.181818,18,19,128186,113.219256,1.236539,358.030725,#NAME?,-0.061573,1.556854,1,6,3,1,524
1,3,8/21/2016 2:03,1,0,41,4,3,1,1,8.1,8.962267,80.322222,110.645266,24,0,24,1,0,5.5,16,24,16,1,7.52,5.5,1379,11.743083,2.043756,37.134889,#NAME?,0.59159,1.903945,25,8.906926,79.333333,35.627705,38,13,25,0.490196,13,27.5,30,38,17,0.395349,7.2,3.5,6964,26.389392,1.439973,83.450584,-0.469633,-0.390838,1.854036,2.37125,0.844822,0.713724,35.627705,3.6043,1.23305,2.37125,0.490196,1.23305,2.608375,2.8455,3.6043,1.61245,0.395349,0.68292,0.331975,62.651783,2.503034,1.439973,7.915288,-0.469633,-0.390838,1.854036,100.9,4.306326,18.544444,4.267915,110,96,14,0.067961,98,100,103,110,5,0.024876,3.28,2.5,101975,100.982672,1.089296,319.335247,#NAME?,0.828754,3.015198,1,6,3,2,524
2,4,8/21/2016 2:13,1,0,41,5,3,1,1,11.7,8.069834,65.122222,68.972941,24,0,24,1,9,11,16,24,7,0.28,5.9,3.5,1955,13.982131,1.716476,44.215382,#NAME?,0.034045,2.24404,26.2,7.757434,60.177778,29.608526,34,11,23,0.511111,26,30,30,34,4,0.071429,5.72,1,7406,27.213967,1.249358,86.05812,#NAME?,-1.268757,3.016857,2.48507,0.735793,0.541391,29.608526,3.2249,1.04335,2.18155,0.511111,2.4661,2.8455,2.8455,3.2249,0.3794,0.071429,0.542542,0.09485,66.628246,2.581245,1.249358,8.162613,#NAME?,-1.268757,3.016857,96.1,6.52261,42.544444,6.787316,105,86,19,0.099476,91,99,100,105,9,0.04712,5.68,4.5,92735,96.299013,1.090354,304.524219,#NAME?,-0.308896,1.654483,1,6,3,2,524
3,5,8/21/2016 2:23,1,0,41,6,3,1,1,8.2,5.573748,31.066667,67.972536,15,0,15,1,5,8.5,14,15,9,0.473684,4.4,4.5,952,9.757049,1.53735,30.854497,1.136991,-0.21363,1.866241,27.4,7.763161,60.266667,28.332704,34,13,21,0.446809,28,30,32,34,4,0.066667,5.76,2,8050,28.372522,1.198343,89.721792,0.430377,-1.336665,3.037898,2.59889,0.736336,0.54219,28.332704,3.2249,1.23305,1.99185,0.446809,2.6558,2.8455,3.0352,3.2249,0.3794,0.066667,0.546336,0.1897,72.422006,2.691134,1.198343,8.510112,0.430377,-1.336665,3.037898,102.8,2.20101,4.844444,2.14106,107,99,8,0.038835,102,102.5,104,107,2,0.009709,1.6,1,105722,102.821204,1.040641,325.149197,#NAME?,0.266258,2.929636,1,6,3,2,524
4,6,8/21/2016 2:48,1,0,42,1,3,1,0,3.6,7.820202,61.155556,217.227827,22,0,22,1,0,0,0,22,0,,5.76,0,680,8.246211,2.667892,26.07681,#NAME?,1.709651,4.214204,15.3,7.81807,61.122222,51.098498,30,10,20,0.5,11,12,13,30,2,0.083333,5.88,1,2891,17.002941,1.764401,53.76802,#NAME?,1.433728,3.160183,1.451205,0.741544,0.549887,51.098498,2.8455,0.9485,1.897,0.5,1.04335,1.1382,1.23305,2.8455,0.1897,0.083333,0.557718,0.09485,26.008947,1.612729,1.764401,5.099897,#NAME?,1.433728,3.160183,95,8.219219,67.555556,8.651809,107,84,23,0.120419,87,95,100,107,13,0.069519,6.8,6.5,90858,95.319463,1.122541,301.426608,#NAME?,0.079733,1.761275,1,6,3,2,524
5,23,8/21/2016 5:38,1,0,42,18,3,1,0,0.8,2.529822,6.4,316.227766,8,0,8,1,0,0,0,8,0,,1.44,0,64,2.529822,3.162278,8,#NAME?,2.666667,8.111111,11.5,4.403282,19.388889,38.289405,24,10,14,0.411765,10,10,10,24,0,0,2.5,0,1497,12.235195,1.961554,38.691084,#NAME?,2.642184,8.03101,1.090775,0.417651,0.174433,38.289405,2.2764,0.9485,1.3279,0.411765,0.9485,0.9485,0.9485,2.2764,0,0,0.237125,0,13.467794,1.160508,1.961554,3.669849,#NAME?,2.642184,8.03101,65.8,1.549193,2.4,2.354397,68,63,5,0.038168,65,66,66,68,1,0.007634,1.08,0.5,43318,65.816411,1.033177,208.129767,-1.552869,-0.219244,2.555556,1,6,3,5,524
6,37,8/21/2016 8:58,1,0,42,38,3,1,1,10.428571,13.402203,179.619048,128.514276,35,0,35,1,0,7,18.75,35,18.75,1,10.326531,7,1839,16.208463,2.159366,42.883563,#NAME?,0.967583,2.519673,22.857143,11.495341,132.142857,50.292115,38,10,28,0.583333,11.5,26,32.5,38,21,0.477273,9.877551,12,4450,25.213375,1.507137,66.70832,2.239714,0.032332,1.395583,2.168,1.090333,1.188826,50.292115,3.6043,0.9485,2.6558,0.583333,1.090775,2.4661,3.082625,3.6043,1.99185,0.477273,0.936886,1.1382,40.034525,2.391489,1.507137,6.327284,2.239714,0.032332,1.395583,97.428571,10.75263,115.619048,11.036424,109,77,32,0.172043,94.25,98,106.25,109,12,0.05985,7.510204,4,67140,97.935839,1.112974,259.113875,#NAME?,-0.840361,2.980648,1,6,3,8,524
7,38,8/21/2016 9:08,1,0,42,39,3,1,0,4.3,9.753062,95.122222,226.8154,31,0,31,1,0,0,4,31,4,1,6.08,0,1041,10.202941,3.03834,32.264532,#NAME?,2.339093,6.969405,17.3,8.01457,64.233333,46.326995,32,11,21,0.488372,13,13,26,32,13,0.333333,6.82,1,3571,18.89709,1.693382,59.757845,#NAME?,0.946986,2.106281,1.640905,0.760182,0.577877,46.326995,3.0352,1.04335,1.99185,0.488372,1.23305,1.23305,2.4661,3.0352,1.23305,0.333333,0.646877,0.09485,32.126582,1.792389,1.693382,5.668032,#NAME?,0.946986,2.106281,97.3,7.860591,61.788889,8.078716,106,85,21,0.109948,88,99.5,104,106,16,0.083333,6.64,5,95229,97.585347,1.086229,308.591964,#NAME?,-0.44123,1.629128,1,6,1,9,524
8,39,8/21/2016 9:18,1,0,42,40,3,1,1,37.1,34.856691,1214.988889,93.953344,94,0,94,1,7,30,75,94,68,0.829268,29.1,26.5,24699,49.698088,1.891421,157.159155,0.941898,0.439809,1.704306,32.2,14.733183,217.066667,45.755225,54,11,43,0.661538,24,31,46,54,22,0.314286,11.8,11,12322,35.102706,1.538343,111.004504,2.331501,-0.096033,1.925085,3.05417,1.397442,1.952845,45.755225,5.1219,1.04335,4.07855,0.661538,2.2764,2.94035,4.3631,5.1219,2.0867,0.314286,1.11923,1.04335,110.85515,3.329492,1.538343,10.528777,2.331501,-0.096033,1.925085,95.9,10.887812,118.544444,11.353297,112,82,30,0.154639,83,97.5,103,112,20,0.107527,8.92,9,93035,96.454653,1.161167,305.016393,#NAME?,-0.014058,1.697665,1,6,1,9,524
9,40,8/21/2016 9:28,1,0,42,41,3,1,0,11.9,20.599083,424.322222,173.101538,55,0,55,1,0,0,23,55,23,1,16.66,0,5235,22.880122,2.403833,72.3533,#NAME?,1.263272,2.964452,20.5,12.222475,149.388889,59.621828,42,13,29,0.527273,13,13,34,42,21,0.446809,10.5,0,5547,23.55207,1.783283,74.478185,#NAME?,0.949658,2.007145,1.944425,1.159302,1.343981,59.621828,3.9837,1.23305,2.75065,0.527273,1.23305,1.23305,3.2249,3.9837,1.99185,0.446809,0.995925,0,49.90371,2.233914,1.783283,7.064256,#NAME?,0.949658,2.007145,102,4.666667,21.777778,4.575163,109,95,14,0.068627,100,101,107,109,7,0.033816,3.6,2.5,104236,102.096033,1.067622,322.856005,#NAME?,0.221267,1.925239,1,6,1,9,524
10,41,8/21/2016 9:38,1,0,42,42,3,1,1,52.4,46.469106,2159.377778,88.681499,113,0,113,1,0,50.5,97,113,97,1,41.6,48.5,46892,68.477734,1.650171,216.545607,#NAME?,0.032296,1.321936,37.4,18.875028,356.266667,50.467988,60,12,48,0.666667,13,40,54,60,41,0.61194,15.52,15,17194,41.465648,1.446981,131.125894,#NAME?,-0.344514,1.582821,3.54739,1.790296,3.205161,50.467988,5.691,1.1382,4.5528,0.666667,1.23305,3.794,5.1219,5.691,3.88885,0.61194,1.472072,1.42275,154.686208,3.933017,1.446981,12.437291,#NAME?,-0.344514,1.582821,108.1,8.07534,65.211111,7.470249,120,97,23,0.105991,100,109.5,114,120,14,0.065421,6.9,7.5,117443,108.371122,1.107306,342.699577,#NAME?,-0.03894,1.532111,1,6,1,9,524
11,42,8/21/2016 9:48,1,0,42,43,3,1,1,38.222222,48.725706,2374.194444,127.480045,108,0,108,1,0,17,96.75,108,96.75,1,42.740741,17,32142,59.760634,1.80721,179.281901,#NAME?,0.66264,1.540907,32.111111,19.048914,362.861111,59.321876,58,13,45,0.633803,13,28,54.5,58,41.5,0.614815,15.925926,15,12183,36.792209,1.576421,110.376628,#NAME?,0.382077,1.505137,3.045739,1.806789,3.264488,59.321876,5.5013,1.23305,4.26825,0.633803,1.23305,2.6558,5.169325,5.5013,3.936275,0.614815,1.510574,1.42275,109.604634,3.489741,1.576421,10.469223,#NAME?,0.382077,1.505137,107.333333,4.690416,22,4.369953,117,100,17,0.078341,105,106,110,117,5,0.023256,3.333333,1,103860,107.424392,1.089138,322.273176,#NAME?,0.663839,3.425749,1,6,1,9,524
