,index,time,dayOfWeek,isWorkDay,sp#,win#,bldgI#,POI#,majVoted_actiLvl,muS,sdS,vaS,cvS,mxS,mnS,raS,c_raS,q1S,q2S,q3S,p95S,iqrS,c_iqrS,mad0S,mad1S,ES,rmsS,p2rmsS,rssS,snrS,skwS,kurS,muM,sdM,vaM,cvMM,mxM,mnM,raM,c_raM,q1M,q2M,q3M,p95M,iqrM,c_iqrM,mad0M,mad1M,EM,rmsM,p2rmsM,rssM,snrM,skwM,kurM,muC,sdC,vaC,cvC,mxC,mnC,raC,c_raC,q1C,q2C,q3C,p95C,iqrC,c_iqrC,mad0C,mad1C,EC,rmsC,p2rmsC,rssC,snrC,skwC,kurC,muH,sdH,vaH,cvH,mxH,mnH,raH,c_raH,q1H,q2H,q3H,p95H,iqrH,c_iqrH,mad0H,mad1H,EH,rmsH,p2rmsH,rssH,snrH,skwH,kurH,is_workday,day_of_week,epoch_number,hour,PID
0,0,8/28/2015 8:11,6,1,2,1,43,2,0,30.9,50.080934,2508.1,162.074222,114,0,114,1,0,0,90,114,90,1,43.26,0,32121,56.675391,2.011455,179.223324,#NAME?,0.91437,1.892267,28,25.006666,625.333333,89.309521,70,12,58,0.707317,12,13,58,70,46,0.657143,21.6,1,13468,36.698774,1.907421,116.051713,#NAME?,0.913423,1.894408,3.17912,2.839257,8.061379,89.309521,7.9478,1.36248,6.58532,0.707317,1.36248,1.47602,6.58532,7.9478,5.22284,0.657143,2.452464,0.11354,173.620454,4.166779,1.907421,13.176511,#NAME?,0.913423,1.894408,94.1,13.270268,176.1,14.102303,122,84,38,0.184466,85,88.5,99,122,14,0.076087,10.34,4,90133,94.938401,1.285044,300.221585,#NAME?,1.245518,3.058334,0,4,3,8,66
1,2,8/28/2015 8:31,6,1,2,3,43,2,0,0.6,1.897367,3.6,316.227766,6,0,6,1,0,0,0,6,0,,1.08,0,36,1.897367,3.162278,6,#NAME?,2.666667,8.111111,13.7,3.653005,13.344444,26.664269,24,12,12,0.333333,12,13,13,24,1,0.04,2.06,0.5,1997,14.131525,1.698331,44.687806,#NAME?,2.574073,7.827017,1.555498,0.414762,0.172028,26.664269,2.72496,1.36248,1.36248,0.333333,1.36248,1.47602,1.47602,2.72496,0.11354,0.04,0.233892,0.05677,25.743989,1.604493,1.698331,5.073853,#NAME?,2.574073,7.827017,84.1,1.66333,2.766667,1.9778,87,82,5,0.029586,83,84,85,87,2,0.011905,1.32,1,70753,84.114803,1.034301,265.994361,0.843852,0.293193,2.046693,0,4,3,8,66
2,5,8/28/2015 9:01,6,1,2,6,43,2,0,3.3,10.435516,108.9,316.227766,33,0,33,1,0,0,0,33,0,,5.94,0,1089,10.435516,3.162278,33,#NAME?,2.666667,8.111111,14.1,7.109462,50.544444,50.421714,34,10,24,0.545455,11,13,13,34,2,0.083333,3.98,1,2443,15.630099,2.17529,49.426713,#NAME?,2.502018,7.615041,1.600914,0.807208,0.651585,50.421714,3.86036,1.1354,2.72496,0.545455,1.24894,1.47602,1.47602,3.86036,0.22708,0.083333,0.451889,0.11354,31.493523,1.774641,2.17529,5.611909,#NAME?,2.502018,7.615041,81.5,3.922867,15.388889,4.813334,91,77,14,0.083333,79,81,82,91,3,0.018634,2.6,1.5,66561,81.584925,1.115402,257.994186,-3.817835,1.396876,4.581644,0,4,1,9,66
3,6,8/28/2015 9:11,6,1,2,7,43,2,1,68.3,52.700517,2777.344444,77.160346,123,0,123,1,0,80.5,117,123,117,1,45.3,38,71645,84.643369,1.453156,267.665836,#NAME?,-0.353876,1.458026,44.7,23.565747,555.344444,52.719793,66,13,53,0.670886,13,54,66,66,53,0.670886,20.36,12,24979,49.978996,1.320555,158.047461,#NAME?,-0.511765,1.529065,5.075238,2.675655,7.159129,52.719793,7.49364,1.47602,6.01762,0.670886,1.47602,6.13116,7.49364,7.49364,6.01762,0.670886,2.311674,1.36248,322.012572,5.674615,1.320555,17.944709,#NAME?,-0.511765,1.529065,103.3,10.456789,109.344444,10.122739,122,90,32,0.150943,93,105.5,110,122,17,0.083744,8.64,7.5,107693,103.775238,1.175618,328.166116,#NAME?,0.185511,2.036282,0,4,1,9,66
4,9,8/28/2015 10:42,6,1,4,1,6,1,1,40.2,37.773595,1426.844444,93.964166,117,0,117,1,17,28,44,117,27,0.442623,27.48,13.5,29002,53.853505,2.172561,170.299736,#NAME?,1.137559,2.968355,40.3,14.345344,205.788889,35.596387,64,13,51,0.662338,36,38,46,64,10,0.121951,9.82,4,18093,42.535867,1.504613,134.510223,#NAME?,-0.000562,2.997993,4.575662,1.62877,2.652893,35.596387,7.26656,1.47602,5.79054,0.662338,4.08744,4.31452,5.22284,7.26656,1.1354,0.121951,1.114963,0.45416,233.242863,4.829522,1.504613,15.272291,#NAME?,-0.000562,2.997993,104.5,4.994441,24.944444,4.77937,114,97,17,0.080569,102,104,104,114,2,0.009709,3.4,1.5,109427,104.607361,1.089789,330.797521,#NAME?,0.747382,2.910229,0,4,1,10,66
5,10,8/28/2015 10:52,6,1,4,2,6,1,1,22.8,10.942273,119.733333,47.992424,38,4,34,0.809524,16,25.5,30,38,14,0.304348,8.6,5,6276,25.051946,1.516848,79.221209,1.492166,-0.535598,2.17807,37.2,5.006662,25.066667,13.458769,44,26,18,0.257143,36,37,40,44,4,0.052632,3.6,3,14064,37.502,1.173271,118.591737,-7.087031,-0.908449,3.66214,4.223688,0.568456,0.323143,13.458769,4.99576,2.95204,2.04372,0.257143,4.08744,4.20098,4.5416,4.99576,0.45416,0.052632,0.408744,0.34062,181.303688,4.257977,1.173271,13.464906,-7.087031,-0.908449,3.66214,103.5,4.949747,24.5,4.782365,111,94,17,0.082927,102,104,106,111,4,0.019231,3.6,2,107343,103.606467,1.071362,327.632416,2.116958,-0.408533,2.713607,0,4,1,10,66
6,12,8/28/2015 11:12,6,1,4,4,6,1,0,1.5,4.743416,22.5,316.227766,15,0,15,1,0,0,0,15,0,,2.7,0,225,4.743416,3.162278,15,-0.359268,2.666667,8.111111,12.8,5.49343,30.177778,42.917425,28,10,18,0.473684,10,11,13,28,3,0.130435,3.12,1,1910,13.820275,2.026009,43.703547,-1.020298,2.402797,7.278045,1.453312,0.623724,0.389032,42.917425,3.17912,1.1354,2.04372,0.473684,1.1354,1.24894,1.47602,3.17912,0.34062,0.130435,0.354245,0.11354,24.622443,1.569154,2.026009,4.962101,-1.020298,2.402797,7.278045,78.9,5.486347,30.1,6.953545,86,70,16,0.102564,74,80,82,86,8,0.051282,4.32,4,62523,79.071487,1.087623,250.045996,#NAME?,-0.274982,1.952893,0,4,1,11,66
7,13,8/28/2015 11:22,6,1,4,5,6,1,1,28,38.233203,1461.777778,136.547152,121,0,121,1,0,11,41,121,41,1,28,11,20996,45.821392,2.640688,144.899965,1.064156,1.565183,4.500984,28.7,17.29515,299.122222,60.261848,66,10,56,0.736842,11,27,38,66,27,0.55102,12.9,12,10929,33.059038,1.996428,104.541858,0.614317,0.802839,3.179012,3.258598,1.963691,3.856084,60.261848,7.49364,1.1354,6.35824,0.736842,1.24894,3.06558,4.31452,7.49364,3.06558,0.55102,1.464666,1.36248,140.889363,3.753523,1.996428,11.869683,0.614317,0.802839,3.179012,87.1,11.808189,139.433333,13.557049,103,73,30,0.170455,76,87,97,103,21,0.121387,10.7,10.5,77119,87.817424,1.172888,277.703079,0.52972,0.069323,1.323072,0,4,1,11,66
8,14,8/28/2015 11:32,6,1,4,6,6,1,1,15.1,16.223782,263.211111,107.442267,39,0,39,1,0,12,33,39,33,1,13.32,12,4649,21.56154,1.808776,68.183576,#NAME?,0.47735,1.627498,30.5,12.73883,162.277778,41.766654,43,12,31,0.563636,13,36,40,43,27,0.509434,10.7,5,10763,32.807011,1.310695,103.744879,#NAME?,-0.670187,1.693556,3.46297,1.446367,2.091977,41.766654,4.88222,1.36248,3.51974,0.563636,1.47602,4.08744,4.5416,4.88222,3.06558,0.509434,1.214878,0.5677,138.749402,3.724908,1.310695,11.779194,#NAME?,-0.670187,1.693556,101.2,9.852242,97.066667,9.735417,120,88,32,0.153846,94,100,108,120,14,0.069307,7.48,6.5,103288,101.630704,1.180746,321.384505,#NAME?,0.628978,2.430573,0,4,1,11,66
9,16,8/28/2015 11:52,6,1,4,8,6,1,0,3.7,11.700427,136.9,316.227766,37,0,37,1,0,0,0,37,0,,6.66,0,1369,11.700427,3.162278,37,0.793243,2.666667,8.111111,14.9,6.740425,45.433333,45.237754,34,11,23,0.511111,13,13,13,34,0,0,3.82,0,2629,16.214191,2.096929,51.273775,0.759777,2.621188,7.979819,1.691746,0.765308,0.585696,45.237754,3.86036,1.24894,2.61142,0.511111,1.47602,1.47602,1.47602,3.86036,0,0,0.433723,0,33.891311,1.840959,2.096929,5.821624,0.759777,2.621188,7.979819,84.4,4.273952,18.266667,5.063924,88,77,11,0.066667,83,86,88,88,5,0.02924,3.32,2,71398,84.497337,1.041453,267.204042,#NAME?,-0.957003,2.440709,0,4,1,11,66
